DrugsIDs	DrugsNames	Labels
DB00390	Digoxin	Glycosides
DB00390	Digoxin	OATP1B1/SLCO1B1 Inhibitors
DB00390	Digoxin	P-glycoprotein/ABCB1 Inhibitors
DB00390	Digoxin	P-glycoprotein/ABCB1 Substrates
DB00390	Digoxin	Potential QTc-Prolonging Agents
DB00390	Digoxin	Protective Agents
DB00390	Digoxin	QTc Prolonging Agents
DB00390	Digoxin	Serum Globulins
DB00390	Digoxin	Steroids
DB00391	Sulpiride	Acids, Carbocyclic
DB00391	Sulpiride	Amides
DB00391	Sulpiride	Benzene Derivatives
DB00391	Sulpiride	Benzoates
DB00391	Sulpiride	Central Nervous System Agents
DB00391	Sulpiride	Central Nervous System Depressants
DB00391	Sulpiride	Moderate Risk QTc-Prolonging Agents
DB00391	Sulpiride	Nervous System
DB00391	Sulpiride	Neurotoxic agents
DB00391	Sulpiride	Neurotransmitter Agents
DB00391	Sulpiride	Psycholeptics
DB00391	Sulpiride	Psychotropic Drugs
DB00391	Sulpiride	QTc Prolonging Agents
DB00392	Profenamine	Adrenergic Agents
DB00392	Profenamine	Adrenergic Antagonists
DB00392	Profenamine	Agents producing tachycardia
DB00392	Profenamine	Anticholinergic Agents
DB00392	Profenamine	Muscarinic Antagonists
DB00392	Profenamine	Nervous System
DB00392	Profenamine	Neurotransmitter Agents
DB00392	Profenamine	Sulfur Compounds
DB00393	Nimodipine	Agents causing hyperkalemia
DB00393	Nimodipine	Antiarrhythmic agents
DB00393	Nimodipine	Antihypertensive Agents
DB00393	Nimodipine	Bradycardia-Causing Agents
DB00393	Nimodipine	Cardiovascular Agents
DB00393	Nimodipine	Cytochrome P-450 CYP3A Substrates
DB00393	Nimodipine	Cytochrome P-450 CYP3A4 Substrates
DB00393	Nimodipine	Cytochrome P-450 CYP3A5 Substrates
DB00393	Nimodipine	Hypotensive Agents
DB00393	Nimodipine	Membrane Transport Modulators
DB00393	Nimodipine	Moderate Risk QTc-Prolonging Agents
DB00393	Nimodipine	P-glycoprotein/ABCB1 Inhibitors
DB00393	Nimodipine	Pyridines
DB00393	Nimodipine	QTc Prolonging Agents
DB00393	Nimodipine	Vasodilating Agents
DB00394	Beclomethasone dipropionate	Adrenal Cortex Hormones
DB00394	Beclomethasone dipropionate	Alimentary Tract and Metabolism
DB00394	Beclomethasone dipropionate	Anti-Inflammatory Agents
DB00394	Beclomethasone dipropionate	Cytochrome P-450 CYP3A Inducers
DB00394	Beclomethasone dipropionate	Cytochrome P-450 CYP3A Substrates
DB00394	Beclomethasone dipropionate	Cytochrome P-450 CYP3A4 Inducers
DB00394	Beclomethasone dipropionate	Cytochrome P-450 CYP3A4 Substrates
DB00394	Beclomethasone dipropionate	Cytochrome P-450 Enzyme Inducers
DB00394	Beclomethasone dipropionate	Dermatologicals
DB00394	Beclomethasone dipropionate	Hormones
DB00394	Beclomethasone dipropionate	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00394	Beclomethasone dipropionate	Hyperglycemia-Associated Agents
DB00394	Beclomethasone dipropionate	Immunosuppressive Agents
DB00394	Beclomethasone dipropionate	Pregnanes
DB00394	Beclomethasone dipropionate	Respiratory System Agents
DB00394	Beclomethasone dipropionate	Steroids
DB00395	Carisoprodol	Acids, Acyclic
DB00395	Carisoprodol	Central Nervous System Agents
DB00395	Carisoprodol	Central Nervous System Depressants
DB00395	Carisoprodol	Musculo-Skeletal System
DB00395	Carisoprodol	Peripheral Nervous System Agents
DB00396	Progesterone	Adrenal Cortex Hormones
DB00396	Progesterone	Cytochrome P-450 CYP2C19 Inhibitors
DB00396	Progesterone	Cytochrome P-450 CYP2C8 Substrates
DB00396	Progesterone	Cytochrome P-450 CYP2C9 Substrates
DB00396	Progesterone	Cytochrome P-450 CYP2D6 Substrates
DB00396	Progesterone	Cytochrome P-450 CYP3A Inducers
DB00396	Progesterone	Cytochrome P-450 CYP3A Inhibitors
DB00396	Progesterone	Cytochrome P-450 CYP3A Substrates
DB00396	Progesterone	Cytochrome P-450 CYP3A4 Inducers
DB00396	Progesterone	Cytochrome P-450 CYP3A4 Substrates
DB00396	Progesterone	Cytochrome P-450 CYP3A5 Substrates
DB00396	Progesterone	Cytochrome P-450 CYP3A7 Substrates
DB00396	Progesterone	Cytochrome P-450 Enzyme Inducers
DB00396	Progesterone	Cytochrome P-450 Enzyme Inhibitors
DB00396	Progesterone	Genito Urinary System and Sex Hormones
DB00396	Progesterone	Hormones
DB00396	Progesterone	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00396	Progesterone	Hyperglycemia-Associated Agents
DB00396	Progesterone	OATP1B1/SLCO1B1 Inhibitors
DB00396	Progesterone	P-glycoprotein/ABCB1 Inhibitors
DB00396	Progesterone	P-glycoprotein/ABCB1 Substrates
DB00396	Progesterone	Pregnanes
DB00396	Progesterone	Steroids
DB00397	Phenylpropanolamine	Adrenergic Agents
DB00397	Phenylpropanolamine	Agents producing tachycardia
DB00397	Phenylpropanolamine	Agents that produce hypertension
DB00397	Phenylpropanolamine	Agents that reduce seizure threshold
DB00397	Phenylpropanolamine	Alcohols
DB00397	Phenylpropanolamine	Amines
DB00397	Phenylpropanolamine	Amino Alcohols
DB00397	Phenylpropanolamine	Autonomic Agents
DB00397	Phenylpropanolamine	Cardiovascular Agents
DB00397	Phenylpropanolamine	Central Nervous System Agents
DB00397	Phenylpropanolamine	Neurotransmitter Agents
DB00397	Phenylpropanolamine	Peripheral Nervous System Agents
DB00397	Phenylpropanolamine	Respiratory System Agents
DB00398	Sorafenib	Antineoplastic Agents
DB00398	Sorafenib	Antineoplastic and Immunomodulating Agents
DB00398	Sorafenib	Benzene Derivatives
DB00398	Sorafenib	Cytochrome P-450 CYP1A2 Substrates
DB00398	Sorafenib	Cytochrome P-450 CYP2C19 Inhibitors
DB00398	Sorafenib	Cytochrome P-450 CYP2C8 Inhibitors
DB00398	Sorafenib	Cytochrome P-450 CYP2C8 Substrates
DB00398	Sorafenib	Cytochrome P-450 CYP2C9 Inhibitors
DB00398	Sorafenib	Cytochrome P-450 CYP2D6 Inhibitors
DB00398	Sorafenib	Cytochrome P-450 CYP3A Inhibitors
DB00398	Sorafenib	Cytochrome P-450 CYP3A Substrates
DB00398	Sorafenib	Cytochrome P-450 CYP3A4 Inhibitors
DB00398	Sorafenib	Cytochrome P-450 CYP3A4 Substrates
DB00398	Sorafenib	Cytochrome P-450 CYP3A5 Substrates
DB00398	Sorafenib	Cytochrome P-450 CYP3A7 Substrates
DB00398	Sorafenib	Cytochrome P-450 Enzyme Inhibitors
DB00398	Sorafenib	Enzyme Inhibitors
DB00398	Sorafenib	Immunosuppressive Agents
DB00398	Sorafenib	Myelosuppressive Agents
DB00398	Sorafenib	OATP1B1/SLCO1B1 Inhibitors
DB00398	Sorafenib	P-glycoprotein/ABCB1 Inhibitors
DB00398	Sorafenib	P-glycoprotein/ABCB1 Substrates
DB00398	Sorafenib	Potential QTc-Prolonging Agents
DB00398	Sorafenib	Pyridines
DB00398	Sorafenib	QTc Prolonging Agents
DB00399	Zoledronic acid	Musculo-Skeletal System
DB00400	Griseofulvin	Anti-Infective Agents
DB00400	Griseofulvin	Cytochrome P-450 CYP3A Inducers
DB00400	Griseofulvin	Cytochrome P-450 CYP3A4 Inducers
DB00400	Griseofulvin	Cytochrome P-450 Enzyme Inducers
DB00400	Griseofulvin	Dermatologicals
DB00401	Nisoldipine	Agents causing hyperkalemia
DB00401	Nisoldipine	Antiarrhythmic agents
DB00401	Nisoldipine	Antihypertensive Agents
DB00401	Nisoldipine	Bradycardia-Causing Agents
DB00401	Nisoldipine	Cardiovascular Agents
DB00401	Nisoldipine	Cytochrome P-450 CYP3A Substrates
DB00401	Nisoldipine	Cytochrome P-450 CYP3A4 Substrates
DB00401	Nisoldipine	Cytochrome P-450 CYP3A5 Substrates
DB00401	Nisoldipine	Cytochrome P-450 CYP3A7 Substrates
DB00401	Nisoldipine	Hypotensive Agents
DB00401	Nisoldipine	Membrane Transport Modulators
DB00401	Nisoldipine	P-glycoprotein/ABCB1 Inhibitors
DB00401	Nisoldipine	Pyridines
DB00401	Nisoldipine	Vasodilating Agents
DB00402	Eszopiclone	Central Nervous System Agents
DB00402	Eszopiclone	Central Nervous System Depressants
DB00402	Eszopiclone	Cytochrome P-450 CYP2C8 Substrates
DB00402	Eszopiclone	Cytochrome P-450 CYP2C9 Substrates
DB00402	Eszopiclone	Cytochrome P-450 CYP3A Substrates
DB00402	Eszopiclone	Cytochrome P-450 CYP3A4 Substrates
DB00402	Eszopiclone	Nervous System
DB00402	Eszopiclone	Psycholeptics
DB00402	Eszopiclone	Pyridines
DB00403	Ceruletide	Amino Acids, Peptides, and Proteins
DB00403	Ceruletide	Peptides
DB00404	Alprazolam	Central Nervous System Agents
DB00404	Alprazolam	Central Nervous System Depressants
DB00404	Alprazolam	Cytochrome P-450 CYP2C9 Substrates
DB00404	Alprazolam	Cytochrome P-450 CYP3A Substrates
DB00404	Alprazolam	Cytochrome P-450 CYP3A4 Substrates
DB00404	Alprazolam	Cytochrome P-450 CYP3A5 Substrates
DB00404	Alprazolam	Cytochrome P-450 CYP3A7 Substrates
DB00404	Alprazolam	Nervous System
DB00404	Alprazolam	Neurotransmitter Agents
DB00404	Alprazolam	Psycholeptics
DB00404	Alprazolam	Psychotropic Drugs
DB00405	Dexbrompheniramine	Central Nervous System Depressants
DB00405	Dexbrompheniramine	Histamine Antagonists
DB00405	Dexbrompheniramine	Neurotransmitter Agents
DB00405	Dexbrompheniramine	Potential QTc-Prolonging Agents
DB00405	Dexbrompheniramine	Pyridines
DB00405	Dexbrompheniramine	QTc Prolonging Agents
DB00406	Gentian violet cation	Amines
DB00406	Gentian violet cation	Anti-Infective Agents
DB00406	Gentian violet cation	Dermatologicals
DB00406	Gentian violet cation	Genito Urinary System and Sex Hormones
DB00407	Ardeparin	Agents causing hyperkalemia
DB00407	Ardeparin	Carbohydrates
DB00407	Ardeparin	Cardiovascular Agents
DB00407	Ardeparin	Hematologic Agents
DB00408	Loxapine	Central Nervous System Agents
DB00408	Loxapine	Central Nervous System Depressants
DB00408	Loxapine	Nervous System
DB00408	Loxapine	Neurotoxic agents
DB00408	Loxapine	Neurotransmitter Agents
DB00408	Loxapine	P-glycoprotein/ABCB1 Inhibitors
DB00408	Loxapine	Psycholeptics
DB00408	Loxapine	Psychotropic Drugs
DB00408	Loxapine	Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome
DB00408	Loxapine	Serotonin Agents
DB00409	Remoxipride	Acids, Carbocyclic
DB00409	Remoxipride	Amides
DB00409	Remoxipride	Benzene Derivatives
DB00409	Remoxipride	Benzoates
DB00409	Remoxipride	Central Nervous System Agents
DB00409	Remoxipride	Central Nervous System Depressants
DB00409	Remoxipride	Cytochrome P-450 CYP2D6 Substrates
DB00409	Remoxipride	Nervous System
DB00409	Remoxipride	Neurotoxic agents
DB00409	Remoxipride	Neurotransmitter Agents
DB00409	Remoxipride	Psycholeptics
DB00409	Remoxipride	Psychotropic Drugs
DB00410	Mupirocin	Anti-Bacterial Agents
DB00410	Mupirocin	Anti-Infective Agents
DB00410	Mupirocin	Dermatologicals
DB00410	Mupirocin	Enzyme Inhibitors
DB00410	Mupirocin	Fatty Acids
DB00410	Mupirocin	Lipids
DB00410	Mupirocin	Pyrans
DB00411	Carbamoylcholine	Alcohols
DB00411	Carbamoylcholine	Amines
DB00411	Carbamoylcholine	Amino Alcohols
DB00411	Carbamoylcholine	Analgesics
DB00411	Carbamoylcholine	Analgesics, Non-Narcotic
DB00411	Carbamoylcholine	Autonomic Agents
DB00411	Carbamoylcholine	Cardiovascular Agents
DB00411	Carbamoylcholine	Central Nervous System Agents
DB00411	Carbamoylcholine	Nervous System
DB00411	Carbamoylcholine	Neurotransmitter Agents
DB00411	Carbamoylcholine	Ophthalmologicals
DB00411	Carbamoylcholine	Peripheral Nervous System Agents
DB00411	Carbamoylcholine	Protective Agents
DB00411	Carbamoylcholine	Sensory Organs
DB00411	Carbamoylcholine	Sensory System Agents
DB00412	Rosiglitazone	Alimentary Tract and Metabolism
DB00412	Rosiglitazone	Cytochrome P-450 CYP1A2 Inhibitors
DB00412	Rosiglitazone	Cytochrome P-450 CYP2C8 Inhibitors
DB00412	Rosiglitazone	Cytochrome P-450 CYP2C8 Substrates
DB00412	Rosiglitazone	Cytochrome P-450 CYP2C9 Substrates
DB00412	Rosiglitazone	Cytochrome P-450 CYP2D6 Inhibitors
DB00412	Rosiglitazone	Cytochrome P-450 CYP3A Substrates
DB00412	Rosiglitazone	Cytochrome P-450 CYP3A4 Substrates
DB00412	Rosiglitazone	Cytochrome P-450 Enzyme Inhibitors
DB00412	Rosiglitazone	OATP1B1/SLCO1B1 Inhibitors
DB00412	Rosiglitazone	Sulfur Compounds
DB00412	Rosiglitazone	Vasodilating Agents
DB00413	Pramipexole	Central Nervous System Agents
DB00413	Pramipexole	Hypotensive Agents
DB00413	Pramipexole	Nervous System
DB00413	Pramipexole	Neurotransmitter Agents
DB00413	Pramipexole	Protective Agents
DB00413	Pramipexole	Sulfur Compounds
DB00414	Acetohexamide	Alimentary Tract and Metabolism
DB00414	Acetohexamide	Cytochrome P-450 CYP2C9 Substrates
DB00414	Acetohexamide	Sulfones
DB00414	Acetohexamide	Sulfur Compounds
DB00415	Ampicillin	Amides
DB00415	Ampicillin	Anti-Bacterial Agents
DB00415	Ampicillin	Anti-Infective Agents
DB00415	Ampicillin	Antibacterials for Systemic Use
DB00415	Ampicillin	Antiinfectives for Systemic Use
DB00415	Ampicillin	Aza Compounds
DB00415	Ampicillin	Azabicyclo Compounds
DB00415	Ampicillin	Lactams
DB00415	Ampicillin	Ophthalmologicals
DB00415	Ampicillin	Sensory Organs
DB00415	Ampicillin	Sulfur Compounds
DB00416	Metocurine Iodide	Alkaloids
DB00416	Metocurine Iodide	Amines
DB00416	Metocurine Iodide	Anticholinergic Agents
DB00416	Metocurine Iodide	Central Nervous System Depressants
DB00416	Metocurine Iodide	Peripheral Nervous System Agents
DB00417	Phenoxymethylpenicillin	Amides
DB00417	Phenoxymethylpenicillin	Anti-Bacterial Agents
DB00417	Phenoxymethylpenicillin	Anti-Infective Agents
DB00417	Phenoxymethylpenicillin	Antibacterials for Systemic Use
DB00417	Phenoxymethylpenicillin	Antiinfectives for Systemic Use
DB00417	Phenoxymethylpenicillin	Aza Compounds
DB00417	Phenoxymethylpenicillin	Azabicyclo Compounds
DB00417	Phenoxymethylpenicillin	Lactams
DB00417	Phenoxymethylpenicillin	Sulfur Compounds
DB00418	Secobarbital	Anticholinergic Agents
DB00418	Secobarbital	Central Nervous System Agents
DB00418	Secobarbital	Central Nervous System Depressants
DB00418	Secobarbital	Cytochrome P-450 CYP3A Inducers
DB00418	Secobarbital	Cytochrome P-450 CYP3A4 Inducers
DB00418	Secobarbital	Cytochrome P-450 Enzyme Inducers
DB00418	Secobarbital	Nervous System
DB00418	Secobarbital	Neurotransmitter Agents
DB00418	Secobarbital	Psycholeptics
DB00418	Secobarbital	Pyrimidines
DB00419	Miglustat	Alimentary Tract and Metabolism
DB00419	Miglustat	Alkaloids
DB00419	Miglustat	Anti-Infective Agents
DB00419	Miglustat	Carbohydrates
DB00419	Miglustat	Enzyme Inhibitors
DB00420	Promazine	Adrenergic Antagonists
DB00420	Promazine	Agents producing tachycardia
DB00420	Promazine	Agents that produce hypertension
DB00420	Promazine	Amino Acids
DB00420	Promazine	Amino Acids, Peptides, and Proteins
DB00420	Promazine	Anticholinergic Agents
DB00420	Promazine	Autonomic Agents
DB00420	Promazine	Central Nervous System Agents
DB00420	Promazine	Central Nervous System Depressants
DB00420	Promazine	Cytochrome P-450 CYP1A2 Inhibitors
DB00420	Promazine	Cytochrome P-450 CYP1A2 Substrates
DB00420	Promazine	Cytochrome P-450 CYP2C9 Substrates
DB00420	Promazine	Cytochrome P-450 CYP2D6 Substrates
DB00420	Promazine	Cytochrome P-450 CYP3A Substrates
DB00420	Promazine	Cytochrome P-450 CYP3A4 Substrates
DB00420	Promazine	Cytochrome P-450 Enzyme Inhibitors
DB00420	Promazine	Gastrointestinal Agents
DB00420	Promazine	Histamine Antagonists
DB00420	Promazine	Moderate Risk QTc-Prolonging Agents
DB00420	Promazine	Muscarinic Antagonists
DB00420	Promazine	Nervous System
DB00420	Promazine	Neurotoxic agents
DB00420	Promazine	Neurotransmitter Agents
DB00420	Promazine	Peripheral Nervous System Agents
DB00420	Promazine	Psycholeptics
DB00420	Promazine	Psychotropic Drugs
DB00420	Promazine	QTc Prolonging Agents
DB00420	Promazine	Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome
DB00420	Promazine	Serotonin Agents
DB00420	Promazine	Sulfur Compounds
DB00421	Spironolactone	Agents causing hyperkalemia
DB00421	Spironolactone	Agents that produce hypertension
DB00421	Spironolactone	Cardiovascular Agents
DB00421	Spironolactone	Cytochrome P-450 CYP2C8 Inhibitors
DB00421	Spironolactone	Cytochrome P-450 Enzyme Inhibitors
DB00421	Spironolactone	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00421	Spironolactone	Hypotensive Agents
DB00421	Spironolactone	Pregnanes
DB00421	Spironolactone	Steroids
DB00422	Methylphenidate	Acids, Carbocyclic
DB00422	Methylphenidate	Agents that produce hypertension
DB00422	Methylphenidate	Agents that reduce seizure threshold
DB00422	Methylphenidate	Central Nervous System Agents
DB00422	Methylphenidate	Central Nervous System Depressants
DB00422	Methylphenidate	Membrane Transport Modulators
DB00422	Methylphenidate	Nervous System
DB00422	Methylphenidate	Neurotransmitter Agents
DB00422	Methylphenidate	Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome
DB00422	Methylphenidate	Serotonin Agents
DB00423	Methocarbamol	Acids, Acyclic
DB00423	Methocarbamol	Benzene Derivatives
DB00423	Methocarbamol	Central Nervous System Agents
DB00423	Methocarbamol	Central Nervous System Depressants
DB00423	Methocarbamol	Musculo-Skeletal System
DB00423	Methocarbamol	Peripheral Nervous System Agents
DB00423	Methocarbamol	Phenols
DB00424	Hyoscyamine	Agents producing tachycardia
DB00424	Hyoscyamine	Alimentary Tract and Metabolism
DB00424	Hyoscyamine	Alkaloids
DB00424	Hyoscyamine	Antiarrhythmic agents
DB00424	Hyoscyamine	Anticholinergic Agents
DB00424	Hyoscyamine	Autonomic Agents
DB00424	Hyoscyamine	Aza Compounds
DB00424	Hyoscyamine	Azabicyclo Compounds
DB00424	Hyoscyamine	Cardiovascular Agents
DB00424	Hyoscyamine	Central Nervous System Agents
DB00424	Hyoscyamine	Muscarinic Antagonists
DB00424	Hyoscyamine	Neurotransmitter Agents
DB00424	Hyoscyamine	Peripheral Nervous System Agents
DB00424	Hyoscyamine	Potential QTc-Prolonging Agents
DB00424	Hyoscyamine	QTc Prolonging Agents
DB00424	Hyoscyamine	Respiratory System Agents
DB00425	Zolpidem	Central Nervous System Agents
DB00425	Zolpidem	Central Nervous System Depressants
DB00425	Zolpidem	Cytochrome P-450 CYP1A2 Substrates
DB00425	Zolpidem	Cytochrome P-450 CYP2C9 Substrates
DB00425	Zolpidem	Cytochrome P-450 CYP2D6 Substrates
DB00425	Zolpidem	Cytochrome P-450 CYP3A Substrates
DB00425	Zolpidem	Cytochrome P-450 CYP3A4 Substrates
DB00425	Zolpidem	Cytochrome P-450 CYP3A5 Substrates
DB00425	Zolpidem	Cytochrome P-450 CYP3A7 Substrates
DB00425	Zolpidem	Nervous System
DB00425	Zolpidem	Neurotransmitter Agents
DB00425	Zolpidem	Psycholeptics
DB00426	Famciclovir	Anti-Infective Agents
DB00426	Famciclovir	Antiinfectives for Systemic Use
DB00426	Famciclovir	Cytochrome P-450 CYP3A Substrates
DB00426	Famciclovir	Cytochrome P-450 CYP3A4 Substrates
DB00426	Famciclovir	Ophthalmologicals
DB00426	Famciclovir	Purines
DB00426	Famciclovir	Sensory Organs
DB00427	Triprolidine	Central Nervous System Depressants
DB00427	Triprolidine	Histamine Antagonists
DB00427	Triprolidine	Neurotransmitter Agents
DB00427	Triprolidine	Potential QTc-Prolonging Agents
DB00427	Triprolidine	Pyridines
DB00427	Triprolidine	QTc Prolonging Agents
DB00428	Streptozocin	Antineoplastic Agents
DB00428	Streptozocin	Antineoplastic and Immunomodulating Agents
DB00428	Streptozocin	Carbohydrates
DB00428	Streptozocin	Cytochrome P-450 Enzyme Inducers
DB00428	Streptozocin	Glycosides
DB00428	Streptozocin	Immunosuppressive Agents
DB00428	Streptozocin	Myelosuppressive Agents
DB00429	Carboprost tromethamine	Alcohols
DB00429	Carboprost tromethamine	Biological Factors
DB00429	Carboprost tromethamine	Fatty Acids
DB00429	Carboprost tromethamine	Genito Urinary System and Sex Hormones
DB00429	Carboprost tromethamine	Lipids
DB00430	Cefpiramide	Amides
DB00430	Cefpiramide	Anti-Bacterial Agents
DB00430	Cefpiramide	Anti-Infective Agents
DB00430	Cefpiramide	Antibacterials for Systemic Use
DB00430	Cefpiramide	Antiinfectives for Systemic Use
DB00430	Cefpiramide	Aza Compounds
DB00430	Cefpiramide	Azabicyclo Compounds
DB00430	Cefpiramide	Lactams
DB00430	Cefpiramide	Nephrotoxic agents
DB00430	Cefpiramide	Sulfur Compounds
DB00431	Lindane	Agents that reduce seizure threshold
DB00431	Lindane	Toxic Actions
DB00432	Trifluridine	Anti-Infective Agents
DB00432	Trifluridine	Antineoplastic Agents
DB00432	Trifluridine	Antineoplastic and Immunomodulating Agents
DB00432	Trifluridine	Carbohydrates
DB00432	Trifluridine	Glycosides
DB00432	Trifluridine	Immunosuppressive Agents
DB00432	Trifluridine	Noxae
DB00432	Trifluridine	Nucleic Acids, Nucleotides, and Nucleosides
DB00432	Trifluridine	Nucleosides
DB00432	Trifluridine	Ophthalmologicals
DB00432	Trifluridine	Pyrimidines
DB00432	Trifluridine	Sensory Organs
DB00432	Trifluridine	Toxic Actions
DB00433	Prochlorperazine	Autonomic Agents
DB00433	Prochlorperazine	Central Nervous System Agents
DB00433	Prochlorperazine	Central Nervous System Depressants
DB00433	Prochlorperazine	Cytochrome P-450 CYP2D6 Substrates
DB00433	Prochlorperazine	Cytochrome P-450 CYP3A Substrates
DB00433	Prochlorperazine	Cytochrome P-450 CYP3A4 Substrates
DB00433	Prochlorperazine	Gastrointestinal Agents
DB00433	Prochlorperazine	Nervous System
DB00433	Prochlorperazine	Neurotoxic agents
DB00433	Prochlorperazine	Neurotransmitter Agents
DB00433	Prochlorperazine	Peripheral Nervous System Agents
DB00433	Prochlorperazine	Psycholeptics
DB00433	Prochlorperazine	Psychotropic Drugs
DB00433	Prochlorperazine	Sulfur Compounds
DB00434	Cyproheptadine	Agents producing tachycardia
DB00434	Cyproheptadine	Agents that reduce seizure threshold
DB00434	Cyproheptadine	Anticholinergic Agents
DB00434	Cyproheptadine	Central Nervous System Depressants
DB00434	Cyproheptadine	Dermatologicals
DB00434	Cyproheptadine	Gastrointestinal Agents
DB00434	Cyproheptadine	Histamine Antagonists
DB00434	Cyproheptadine	Muscarinic Antagonists
DB00434	Cyproheptadine	Neurotransmitter Agents
DB00434	Cyproheptadine	Potential QTc-Prolonging Agents
DB00434	Cyproheptadine	QTc Prolonging Agents
DB00434	Cyproheptadine	Serotonin Agents
DB00435	Nitric Oxide	Anions
DB00435	Nitric Oxide	Autonomic Agents
DB00435	Nitric Oxide	Cardiovascular Agents
DB00435	Nitric Oxide	Cytochrome P-450 CYP1A2 Inhibitors
DB00435	Nitric Oxide	Cytochrome P-450 CYP3A Inhibitors
DB00435	Nitric Oxide	Cytochrome P-450 CYP3A4 Inhibitors
DB00435	Nitric Oxide	Cytochrome P-450 Enzyme Inhibitors
DB00435	Nitric Oxide	Electrolytes
DB00435	Nitric Oxide	Hypotensive Agents
DB00435	Nitric Oxide	Ions
DB00435	Nitric Oxide	Neurotransmitter Agents
DB00435	Nitric Oxide	Peripheral Nervous System Agents
DB00435	Nitric Oxide	Protective Agents
DB00435	Nitric Oxide	Respiratory System Agents
DB00435	Nitric Oxide	Vasodilating Agents
DB00436	Bendroflumethiazide	Amides
DB00436	Bendroflumethiazide	Antihypertensive Agents
DB00436	Bendroflumethiazide	Bradycardia-Causing Agents
DB00436	Bendroflumethiazide	Cardiovascular Agents
DB00436	Bendroflumethiazide	Genito Urinary System and Sex Hormones
DB00436	Bendroflumethiazide	Hyperglycemia-Associated Agents
DB00436	Bendroflumethiazide	Hypotensive Agents
DB00436	Bendroflumethiazide	Membrane Transport Modulators
DB00436	Bendroflumethiazide	Sulfones
DB00436	Bendroflumethiazide	Sulfur Compounds
DB00437	Allopurinol	Enzyme Inhibitors
DB00437	Allopurinol	Musculo-Skeletal System
DB00437	Allopurinol	Noxae
DB00437	Allopurinol	Protective Agents
DB00437	Allopurinol	Purines
DB00437	Allopurinol	Toxic Actions
DB00438	Ceftazidime	Amides
DB00438	Ceftazidime	Anti-Bacterial Agents
DB00438	Ceftazidime	Anti-Infective Agents
DB00438	Ceftazidime	Antibacterials for Systemic Use
DB00438	Ceftazidime	Antiinfectives for Systemic Use
DB00438	Ceftazidime	Aza Compounds
DB00438	Ceftazidime	Azabicyclo Compounds
DB00438	Ceftazidime	Lactams
DB00438	Ceftazidime	Nephrotoxic agents
DB00438	Ceftazidime	Sulfur Compounds
DB00439	Cerivastatin	Cytochrome P-450 CYP2C8 Inhibitors
DB00439	Cerivastatin	Cytochrome P-450 CYP2C8 Substrates
DB00439	Cerivastatin	Cytochrome P-450 CYP2C9 Inhibitors
DB00439	Cerivastatin	Cytochrome P-450 CYP2D6 Inhibitors
DB00439	Cerivastatin	Cytochrome P-450 CYP3A Inducers
DB00439	Cerivastatin	Cytochrome P-450 CYP3A Inhibitors
DB00439	Cerivastatin	Cytochrome P-450 CYP3A Substrates
DB00439	Cerivastatin	Cytochrome P-450 CYP3A4 Inducers
DB00439	Cerivastatin	Cytochrome P-450 CYP3A4 Inhibitors
DB00439	Cerivastatin	Cytochrome P-450 CYP3A4 Substrates
DB00439	Cerivastatin	Cytochrome P-450 CYP3A5 Substrates
DB00439	Cerivastatin	Cytochrome P-450 CYP3A7 Substrates
DB00439	Cerivastatin	Cytochrome P-450 Enzyme Inducers
DB00439	Cerivastatin	Cytochrome P-450 Enzyme Inhibitors
DB00439	Cerivastatin	Enzyme Inhibitors
DB00439	Cerivastatin	Noxae
DB00439	Cerivastatin	OATP1B1/SLCO1B1 Inhibitors
DB00439	Cerivastatin	P-glycoprotein/ABCB1 Substrates
DB00439	Cerivastatin	Toxic Actions
DB00440	Trimethoprim	Agents causing hyperkalemia
DB00440	Trimethoprim	Anti-Infective Agents
DB00440	Trimethoprim	Antibacterials for Systemic Use
DB00440	Trimethoprim	Antiinfectives for Systemic Use
DB00440	Trimethoprim	Cytochrome P-450 CYP2C8 Inhibitors
DB00440	Trimethoprim	Cytochrome P-450 CYP2C8 Substrates
DB00440	Trimethoprim	Cytochrome P-450 CYP2C9 Substrates
DB00440	Trimethoprim	Cytochrome P-450 CYP3A Substrates
DB00440	Trimethoprim	Cytochrome P-450 CYP3A4 Substrates
DB00440	Trimethoprim	Cytochrome P-450 Enzyme Inhibitors
DB00440	Trimethoprim	Enzyme Inhibitors
DB00440	Trimethoprim	P-glycoprotein/ABCB1 Inhibitors
DB00440	Trimethoprim	Potential QTc-Prolonging Agents
DB00440	Trimethoprim	Pyrimidines
DB00440	Trimethoprim	QTc Prolonging Agents
DB00441	Gemcitabine	Anti-Infective Agents
DB00441	Gemcitabine	Antineoplastic Agents
DB00441	Gemcitabine	Antineoplastic and Immunomodulating Agents
DB00441	Gemcitabine	Carbohydrates
DB00441	Gemcitabine	Enzyme Inhibitors
DB00441	Gemcitabine	Glycosides
DB00441	Gemcitabine	Immunologic Factors
DB00441	Gemcitabine	Immunosuppressive Agents
